Fr,Idx,X,Y,Z,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
2,13160,19.13065338,-5.505449295,0.340875983,1.839999914,19.90999985,0.981000013,-16.05484282,Target 2-3,20,65.00%
2,13162,19.13575363,-5.506916523,0.550638437,1.879999995,19.92000008,1.583999886,-16.05484136,Target 2-3,20,65.00%
2,13164,19.09071732,-5.493956089,0.758468926,1.839999914,19.87999725,2.186500129,-16.05484187,Target 2-2,20,95.00%
2,13166,19.11519432,-5.510900974,1.022568226,1.799999952,19.91999817,2.94250056,-16.08224507,Target 2-3,20,65.00%
2,13169,19.12298584,-5.513147354,1.232939005,1.679999948,19.93999863,3.544999998,-16.08224532,Target 2-3,20,65.00%
2,13177,15.01146984,-4.375442505,-1.298987865,2.679999828,15.68999958,-4.749000033,-16.24999317,Target 2-2,20,95.00%
2,13178,17.13032341,-4.993031979,-1.293726325,3.079999924,17.88999939,-4.146999458,-16.24999394,Target 2-2,20,95.00%
2,13180,18.8192997,-5.485323429,-1.214389324,2.440000057,19.63999939,-3.545,-16.2499938,Target 2-2,20,95.00%
2,13181,19.09897804,-5.566842556,-1.022568226,1.839999914,19.92000008,-2.942500505,-16.24999479,Target 2-3,20,65.00%
2,13182,19.08841705,-5.573679924,-0.759231985,1.839999914,19.90000153,-2.186499912,-16.27742312,Target 2-3,20,65.00%
2,13184,19.12381172,-5.584014893,-0.550914884,1.839999914,19.93000031,-1.583999938,-16.27742306,Target 2-3,20,65.00%
2,13186,19.1187191,-5.582528114,-0.341047198,1.839999914,19.91999817,-0.981000047,-16.2774237,Target 2-3,20,65.00%
2,13188,19.11150742,-5.580422401,-0.131352171,1.839999914,19.90999985,-0.37799999,-16.27742383,Target 2-3,20,65.00%
2,13189,19.09923935,-5.586754799,0.131286189,1.839999914,19.89999962,0.377999951,-16.30482611,Target 2-3,20,65.00%
2,13191,19.10645103,-5.588864803,0.340875983,1.839999914,19.90999985,0.981000001,-16.30482749,Target 2-3,20,65.00%
2,13193,19.11154366,-5.590354443,0.550638437,1.879999995,19.92000008,1.583999952,-16.30482745,Target 2-3,20,65.00%
2,13195,19.07615852,-5.580003262,0.758850455,1.879999995,19.8900013,2.186499874,-16.30482577,Target 2-3,20,65.00%
2,13197,19.11972046,-5.602674007,1.024108171,1.75999999,19.94999886,2.942500239,-16.33222907,Target 2-3,20,65.00%
2,13200,19.08917236,-5.59372282,1.232320786,1.639999986,19.9299984,3.545000161,-16.33223005,Target 2-3,20,65.00%
2,13209,17.07012177,-5.056402683,-1.290833831,3.079999924,17.85000038,-4.146999611,-16.50000696,Target 2-2,20,95.00%
2,13210,18.79518509,-5.567389965,-1.214389324,2.399999857,19.63999748,-3.545000003,-16.50000701,Target 2-3,20,65.00%
2,13212,19.08408165,-5.652964592,-1.023081541,1.879999995,19.93000031,-2.942500319,-16.50000571,Target 2-3,20,65.00%
2,13213,19.10223579,-5.668281078,-0.760758042,1.839999914,19.94000053,-2.186499892,-16.52740837,Target 2-3,20,65.00%
2,13214,19.09926605,-5.667399883,-0.550914884,1.839999914,19.9299984,-1.583999962,-16.52740844,Target 2-3,20,65.00%
2,13215,19.09418106,-5.665891171,-0.341047198,1.879999995,19.92000008,-0.981000007,-16.52740893,Target 2-3,20,65.00%
2,13216,19.08697891,-5.663753986,-0.131352171,1.839999914,19.90999985,-0.377999969,-16.52740876,Target 2-3,20,65.00%
2,13217,19.0650959,-5.667183399,0.131220222,1.799999952,19.88999939,0.377999986,-16.55481244,Target 2-3,20,65.00%
2,13219,19.08188438,-5.672173977,0.340875983,1.839999914,19.90999985,0.981000015,-16.55481279,Target 2-3,20,65.00%
2,13221,19.08697128,-5.673685551,0.550638437,1.879999995,19.92000008,1.583999919,-16.55481133,Target 2-3,20,65.00%
2,13223,19.08036613,-5.671722412,0.759995103,1.799999952,19.92000008,2.186500136,-16.55481208,Target 2-3,20,65.00%
2,13225,19.09509277,-5.686050415,1.024108171,1.75999999,19.95000076,2.942499977,-16.58224101,Target 2-3,20,65.00%
2,13228,19.07414818,-5.679813862,1.232939005,1.679999948,19.93999863,3.54499985,-16.58224165,Target 2-3,20,65.00%
2,13235,17.00969315,-5.119333744,-1.287941098,3.199999809,17.80999756,-4.146999826,-16.74999127,Target 2-2,20,95.00%
2,13236,18.77071571,-5.649341106,-1.214389324,2.480000019,19.63999939,-3.544999958,-16.74999133,Target 2-3,20,65.00%
2,13237,19.05923462,-5.736175537,-1.023081541,1.879999995,19.9299984,-2.942500494,-16.74999172,Target 2-3,20,65.00%
2,13238,19.07732391,-5.751571178,-0.760758042,1.839999914,19.94000053,-2.186499793,-16.77739285,Target 2-3,20,65.00%
2,13239,19.07435799,-5.750677109,-0.550914884,1.879999995,19.93000031,-1.583999893,-16.77739318,Target 2-3,20,65.00%
2,13240,19.05970573,-5.746259689,-0.340875983,1.799999952,19.90999985,-0.980999998,-16.77739332,Target 2-3,20,65.00%
2,13241,19.10037994,-5.758522511,-0.131616056,1.839999914,19.94999886,-0.378,-16.77739349,Target 2-3,20,65.00%
2,13242,19.07847786,-5.761884689,0.131484121,1.799999952,19.93000031,0.377999983,-16.80482358,Target 2-3,20,65.00%
2,13244,19.05695343,-5.755383968,0.340875983,1.839999914,19.91000175,0.980999954,-16.80482321,Target 2-3,20,65.00%
2,13246,19.0620327,-5.756917953,0.550638437,1.839999914,19.92000008,1.58399989,-16.8048232,Target 2-3,20,65.00%
2,13248,19.05543518,-5.754925728,0.759995103,1.839999914,19.92000008,2.186500211,-16.80482399,Target 2-3,20,65.00%
2,13250,19.07965851,-5.772209644,1.024621487,1.799999952,19.95999908,2.94249996,-16.83225232,Target 2-3,20,65.00%
2,13253,19.07784271,-5.771660805,1.234794021,1.639999986,19.96999931,3.544999907,-16.83225369,Target 2-3,20,65.00%
2,13260,16.8727417,-5.15850687,-1.279263377,3.079999924,17.69000053,-4.146999736,-16.99997532,Target 2-2,20,95.00%
2,13262,18.74588966,-5.731184959,-1.214389324,2.440000057,19.6400013,-3.544999788,-16.99997579,Target 2-3,20,65.00%
2,13263,19.06267929,-5.828036785,-1.024621487,1.799999952,19.95999908,-2.942500028,-16.99997486,Target 2-3,20,65.00%
2,13264,19.05204391,-5.834760666,-0.760758042,1.799999952,19.93999863,-2.186499929,-17.02740589,Target 2-3,20,65.00%
2,13265,19.0873127,-5.845561981,-0.55202055,1.879999995,19.96999741,-1.583999994,-17.02740621,Target 2-3,20,65.00%
