Fr,Idx,X,Y,`,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
3,29479,34.98134613,-2.28666687,0,6,35.05600357,0,-3.750664511,Target 3-2 ,35,65.00%
3,29483,47.91274261,-0.786131561,0.278506935,61,47.92000198,0.333007543,-0.940168709,Target 4-3,48,95.00%
3,29484,34.85908127,-3.996344805,-0.203928441,81,35.08800507,-0.333007467,-6.597480679,Target 3-3,35,95.00%
3,29487,34.97187805,-2.286048174,0.815512717,6,35.05600357,1.333481206,-3.750664511,Target 3-2 ,35,65.00%
3,29492,34.84641647,-3.994892836,0.61223042,100,35.08000565,1.000203036,-6.597480679,Target 3-3,35,95.00%
3,29505,34.96788406,-2.285787106,-0.815419614,13,35.05199814,-1.333481206,-3.750664511,Target 3-2 ,35,65.00%
3,29507,47.92321396,-0.953642249,-0.836668372,58,47.94000244,-1.000203036,-1.140300993,Target 4-3,48,95.00%
3,29511,34.98113251,-2.409310341,0,6,35.06400681,0,-3.952473227,Target 3-2 ,35,65.00%
3,29515,47.92970276,-0.953771412,0.278623164,61,47.94000244,0.333007543,-1.140301144,Target 4-3,48,95.00%
3,29516,34.84492111,-4.118000984,-0.203928441,81,35.08800507,-0.333007467,-6.802963125,Target 3-3,35,95.00%
3,29519,34.97964478,-2.409207821,0.815884888,13,35.07200623,1.333481206,-3.952473227,Target 3-2 ,35,65.00%
3,29524,34.82431412,-4.115565777,0.612090826,100,35.07200241,1.000203036,-6.802963125,Target 3-3,35,95.00%
3,29537,34.95969391,-2.407833815,-0.815419614,6,35.05199814,-1.333481206,-3.952473227,Target 3-2 ,35,65.00%
3,29539,47.92758942,-1.121106982,-0.836807966,58,47.94800186,-1.000203036,-1.34048898,Target 4-3,48,95.00%
3,29543,34.97250748,-2.531402826,0,6,35.06400299,0,-4.154478652,Target 3-2 ,35,65.00%
3,29547,47.94207382,-1.121445894,0.278716147,61,47.95599747,0.333007543,-1.340489284,Target 4-3,48,95.00%
3,29548,34.82636261,-4.239124775,-0.20390521,81,35.08400345,-0.333007543,-7.008790421,Target 3-3,35,95.00%
3,29551,34.96702576,-2.531006336,0.815791786,13,35.06799698,1.333481206,-4.154478652,Target 3-2 ,35,65.00%
3,29556,34.81370544,-4.237583637,0.612160563,100,35.07600403,1.000202884,-7.008787992,Target 3-3,35,95.00%
3,29568,34.95506668,-2.5301404,-0.815512717,13,35.05600357,-1.333481206,-4.154478652,Target 3-2 ,35,65.00%
3,29570,47.93937302,-1.288827777,-0.837087214,58,47.9640007,-1.000203036,-1.540741627,Target 4-3,48,95.00%
3,29574,34.95946884,-2.65316081,0,6,35.06000137,0,-4.35668625,Target 3-2 ,35,65.00%
3,29578,47.95786285,-1.28932488,0.278832376,61,47.97599792,0.333007543,-1.540741627,Target 4-3,48,95.00%
3,29579,34.79944611,-4.359173775,-0.203835458,89,35.07200241,-0.333007467,-7.214967422,Target 3-3,35,95.00%
3,29582,34.96595383,-2.653652906,0.815977871,13,35.0759964,1.333481206,-4.35668625,Target 3-2 ,35,65.00%
3,29587,34.79076385,-4.358086109,0.612020969,100,35.06800079,1.000203036,-7.214967422,Target 3-3,35,95.00%
3,29600,34.96197128,-2.653350592,-0.815884888,6,35.07200241,-1.333481206,-4.35668625,Target 3-2 ,35,65.00%
3,29602,47.95431519,-1.465136886,-0.837436259,58,47.98400497,-1.000203036,-1.751089293,Target 4-3,48,95.00%
3,29606,34.9574852,-2.781910896,0,6,35.06800079,0,-4.569238701,Target 3-2 ,35,65.00%
3,29609,47.96880722,-1.465579748,0.278925359,61,47.99200058,0.333007543,-1.751089293,Target 4-3,48,95.00%
